ID,Actual_Address,Actual_Longitude,Actual_Latitude,Matched_Address,Matched_Longitude,Matched_Latitude,Geodetic_Distance_m
1345,Actual Address 1345,Actual Long 1345,Actual Lat 1345,Matched Address 1345,Matched Long 1345,Matched Lat 1345,9
1346,Actual Address 1346,Actual Long 1346,Actual Lat 1346,Matched Address 1346,Matched Long 1346,Matched Lat 1346,16
1347,Actual Address 1347,Actual Long 1347,Actual Lat 1347,Matched Address 1347,Matched Long 1347,Matched Lat 1347,3
1348,Actual Address 1348,Actual Long 1348,Actual Lat 1348,Matched Address 1348,Matched Long 1348,Matched Lat 1348,9
1349,Actual Address 1349,Actual Long 1349,Actual Lat 1349,Matched Address 1349,Matched Long 1349,Matched Lat 1349,12
1350,Actual Address 1350,Actual Long 1350,Actual Lat 1350,Matched Address 1350,Matched Long 1350,Matched Lat 1350,14
1351,Actual Address 1351,Actual Long 1351,Actual Lat 1351,Matched Address 1351,Matched Long 1351,Matched Lat 1351,0
1352,Actual Address 1352,Actual Long 1352,Actual Lat 1352,Matched Address 1352,Matched Long 1352,Matched Lat 1352,8
1353,Actual Address 1353,Actual Long 1353,Actual Lat 1353,Matched Address 1353,Matched Long 1353,Matched Lat 1353,13
1354,Actual Address 1354,Actual Long 1354,Actual Lat 1354,Matched Address 1354,Matched Long 1354,Matched Lat 1354,14
1355,Actual Address 1355,Actual Long 1355,Actual Lat 1355,Matched Address 1355,Matched Long 1355,Matched Lat 1355,5
1356,Actual Address 1356,Actual Long 1356,Actual Lat 1356,Matched Address 1356,Matched Long 1356,Matched Lat 1356,1738
1357,Actual Address 1357,Actual Long 1357,Actual Lat 1357,Matched Address 1357,Matched Long 1357,Matched Lat 1357,23
1358,Actual Address 1358,Actual Long 1358,Actual Lat 1358,Matched Address 1358,Matched Long 1358,Matched Lat 1358,92
1359,Actual Address 1359,Actual Long 1359,Actual Lat 1359,Matched Address 1359,Matched Long 1359,Matched Lat 1359,67
1360,Actual Address 1360,Actual Long 1360,Actual Lat 1360,Matched Address 1360,Matched Long 1360,Matched Lat 1360,552
1361,Actual Address 1361,Actual Long 1361,Actual Lat 1361,Matched Address 1361,Matched Long 1361,Matched Lat 1361,20
1362,Actual Address 1362,Actual Long 1362,Actual Lat 1362,Matched Address 1362,Matched Long 1362,Matched Lat 1362,14
1363,Actual Address 1363,Actual Long 1363,Actual Lat 1363,Matched Address 1363,Matched Long 1363,Matched Lat 1363,1244
1364,Actual Address 1364,Actual Long 1364,Actual Lat 1364,Matched Address 1364,Matched Long 1364,Matched Lat 1364,15
1365,Actual Address 1365,Actual Long 1365,Actual Lat 1365,Matched Address 1365,Matched Long 1365,Matched Lat 1365,17
1366,Actual Address 1366,Actual Long 1366,Actual Lat 1366,Matched Address 1366,Matched Long 1366,Matched Lat 1366,344
1367,Actual Address 1367,Actual Long 1367,Actual Lat 1367,Matched Address 1367,Matched Long 1367,Matched Lat 1367,16
1368,Actual Address 1368,Actual Long 1368,Actual Lat 1368,Matched Address 1368,Matched Long 1368,Matched Lat 1368,2725
1369,Actual Address 1369,Actual Long 1369,Actual Lat 1369,Matched Address 1369,Matched Long 1369,Matched Lat 1369,362
1370,Actual Address 1370,Actual Long 1370,Actual Lat 1370,Matched Address 1370,Matched Long 1370,Matched Lat 1370,44
1371,Actual Address 1371,Actual Long 1371,Actual Lat 1371,Matched Address 1371,Matched Long 1371,Matched Lat 1371,156
1372,Actual Address 1372,Actual Long 1372,Actual Lat 1372,Matched Address 1372,Matched Long 1372,Matched Lat 1372,18
1373,Actual Address 1373,Actual Long 1373,Actual Lat 1373,Matched Address 1373,Matched Long 1373,Matched Lat 1373,15
1374,Actual Address 1374,Actual Long 1374,Actual Lat 1374,Matched Address 1374,Matched Long 1374,Matched Lat 1374,15
1375,Actual Address 1375,Actual Long 1375,Actual Lat 1375,Matched Address 1375,Matched Long 1375,Matched Lat 1375,11
1376,Actual Address 1376,Actual Long 1376,Actual Lat 1376,Matched Address 1376,Matched Long 1376,Matched Lat 1376,9
1377,Actual Address 1377,Actual Long 1377,Actual Lat 1377,Matched Address 1377,Matched Long 1377,Matched Lat 1377,11
1378,Actual Address 1378,Actual Long 1378,Actual Lat 1378,Matched Address 1378,Matched Long 1378,Matched Lat 1378,12
1379,Actual Address 1379,Actual Long 1379,Actual Lat 1379,Matched Address 1379,Matched Long 1379,Matched Lat 1379,438
1380,Actual Address 1380,Actual Long 1380,Actual Lat 1380,Matched Address 1380,Matched Long 1380,Matched Lat 1380,15
1381,Actual Address 1381,Actual Long 1381,Actual Lat 1381,Matched Address 1381,Matched Long 1381,Matched Lat 1381,11
1382,Actual Address 1382,Actual Long 1382,Actual Lat 1382,Matched Address 1382,Matched Long 1382,Matched Lat 1382,17
1383,Actual Address 1383,Actual Long 1383,Actual Lat 1383,Matched Address 1383,Matched Long 1383,Matched Lat 1383,9
1384,Actual Address 1384,Actual Long 1384,Actual Lat 1384,Matched Address 1384,Matched Long 1384,Matched Lat 1384,14
1385,Actual Address 1385,Actual Long 1385,Actual Lat 1385,Matched Address 1385,Matched Long 1385,Matched Lat 1385,20
1386,Actual Address 1386,Actual Long 1386,Actual Lat 1386,Matched Address 1386,Matched Long 1386,Matched Lat 1386,21
1387,Actual Address 1387,Actual Long 1387,Actual Lat 1387,Matched Address 1387,Matched Long 1387,Matched Lat 1387,7
1388,Actual Address 1388,Actual Long 1388,Actual Lat 1388,Matched Address 1388,Matched Long 1388,Matched Lat 1388,58
1389,Actual Address 1389,Actual Long 1389,Actual Lat 1389,Matched Address 1389,Matched Long 1389,Matched Lat 1389,19
1390,Actual Address 1390,Actual Long 1390,Actual Lat 1390,Matched Address 1390,Matched Long 1390,Matched Lat 1390,9
1391,Actual Address 1391,Actual Long 1391,Actual Lat 1391,Matched Address 1391,Matched Long 1391,Matched Lat 1391,17
1392,Actual Address 1392,Actual Long 1392,Actual Lat 1392,Matched Address 1392,Matched Long 1392,Matched Lat 1392,13
1393,Actual Address 1393,Actual Long 1393,Actual Lat 1393,Matched Address 1393,Matched Long 1393,Matched Lat 1393,11
1394,Actual Address 1394,Actual Long 1394,Actual Lat 1394,Matched Address 1394,Matched Long 1394,Matched Lat 1394,32
1395,Actual Address 1395,Actual Long 1395,Actual Lat 1395,Matched Address 1395,Matched Long 1395,Matched Lat 1395,7
1396,Actual Address 1396,Actual Long 1396,Actual Lat 1396,Matched Address 1396,Matched Long 1396,Matched Lat 1396,11
1397,Actual Address 1397,Actual Long 1397,Actual Lat 1397,Matched Address 1397,Matched Long 1397,Matched Lat 1397,17
1398,Actual Address 1398,Actual Long 1398,Actual Lat 1398,Matched Address 1398,Matched Long 1398,Matched Lat 1398,28
1399,Actual Address 1399,Actual Long 1399,Actual Lat 1399,Matched Address 1399,Matched Long 1399,Matched Lat 1399,10
1400,Actual Address 1400,Actual Long 1400,Actual Lat 1400,Matched Address 1400,Matched Long 1400,Matched Lat 1400,10
1401,Actual Address 1401,Actual Long 1401,Actual Lat 1401,Matched Address 1401,Matched Long 1401,Matched Lat 1401,2730
1402,Actual Address 1402,Actual Long 1402,Actual Lat 1402,Matched Address 1402,Matched Long 1402,Matched Lat 1402,13
1403,Actual Address 1403,Actual Long 1403,Actual Lat 1403,Matched Address 1403,Matched Long 1403,Matched Lat 1403,13
1404,Actual Address 1404,Actual Long 1404,Actual Lat 1404,Matched Address 1404,Matched Long 1404,Matched Lat 1404,5
1405,Actual Address 1405,Actual Long 1405,Actual Lat 1405,Matched Address 1405,Matched Long 1405,Matched Lat 1405,77
1406,Actual Address 1406,Actual Long 1406,Actual Lat 1406,Matched Address 1406,Matched Long 1406,Matched Lat 1406,4
1407,Actual Address 1407,Actual Long 1407,Actual Lat 1407,Matched Address 1407,Matched Long 1407,Matched Lat 1407,2052
1408,Actual Address 1408,Actual Long 1408,Actual Lat 1408,Matched Address 1408,Matched Long 1408,Matched Lat 1408,375
1409,Actual Address 1409,Actual Long 1409,Actual Lat 1409,Matched Address 1409,Matched Long 1409,Matched Lat 1409,5
1410,Actual Address 1410,Actual Long 1410,Actual Lat 1410,Matched Address 1410,Matched Long 1410,Matched Lat 1410,25
1411,Actual Address 1411,Actual Long 1411,Actual Lat 1411,Matched Address 1411,Matched Long 1411,Matched Lat 1411,22
1412,Actual Address 1412,Actual Long 1412,Actual Lat 1412,Matched Address 1412,Matched Long 1412,Matched Lat 1412,7
1413,Actual Address 1413,Actual Long 1413,Actual Lat 1413,Matched Address 1413,Matched Long 1413,Matched Lat 1413,4716
1414,Actual Address 1414,Actual Long 1414,Actual Lat 1414,Matched Address 1414,Matched Long 1414,Matched Lat 1414,18
1415,Actual Address 1415,Actual Long 1415,Actual Lat 1415,Matched Address 1415,Matched Long 1415,Matched Lat 1415,6
1416,Actual Address 1416,Actual Long 1416,Actual Lat 1416,Matched Address 1416,Matched Long 1416,Matched Lat 1416,10
1417,Actual Address 1417,Actual Long 1417,Actual Lat 1417,Matched Address 1417,Matched Long 1417,Matched Lat 1417,9
1418,Actual Address 1418,Actual Long 1418,Actual Lat 1418,Matched Address 1418,Matched Long 1418,Matched Lat 1418,50
1419,Actual Address 1419,Actual Long 1419,Actual Lat 1419,Matched Address 1419,Matched Long 1419,Matched Lat 1419,11
1420,Actual Address 1420,Actual Long 1420,Actual Lat 1420,Matched Address 1420,Matched Long 1420,Matched Lat 1420,16
1421,Actual Address 1421,Actual Long 1421,Actual Lat 1421,Matched Address 1421,Matched Long 1421,Matched Lat 1421,13
1422,Actual Address 1422,Actual Long 1422,Actual Lat 1422,Matched Address 1422,Matched Long 1422,Matched Lat 1422,720
1423,Actual Address 1423,Actual Long 1423,Actual Lat 1423,Matched Address 1423,Matched Long 1423,Matched Lat 1423,64
1424,Actual Address 1424,Actual Long 1424,Actual Lat 1424,Matched Address 1424,Matched Long 1424,Matched Lat 1424,18
1425,Actual Address 1425,Actual Long 1425,Actual Lat 1425,Matched Address 1425,Matched Long 1425,Matched Lat 1425,19
1426,Actual Address 1426,Actual Long 1426,Actual Lat 1426,Matched Address 1426,Matched Long 1426,Matched Lat 1426,14
1427,Actual Address 1427,Actual Long 1427,Actual Lat 1427,Matched Address 1427,Matched Long 1427,Matched Lat 1427,220
1428,Actual Address 1428,Actual Long 1428,Actual Lat 1428,Matched Address 1428,Matched Long 1428,Matched Lat 1428,18
1429,Actual Address 1429,Actual Long 1429,Actual Lat 1429,Matched Address 1429,Matched Long 1429,Matched Lat 1429,20
1430,Actual Address 1430,Actual Long 1430,Actual Lat 1430,Matched Address 1430,Matched Long 1430,Matched Lat 1430,147
1431,Actual Address 1431,Actual Long 1431,Actual Lat 1431,Matched Address 1431,Matched Long 1431,Matched Lat 1431,10
1432,Actual Address 1432,Actual Long 1432,Actual Lat 1432,Matched Address 1432,Matched Long 1432,Matched Lat 1432,8
1433,Actual Address 1433,Actual Long 1433,Actual Lat 1433,Matched Address 1433,Matched Long 1433,Matched Lat 1433,35
1434,Actual Address 1434,Actual Long 1434,Actual Lat 1434,Matched Address 1434,Matched Long 1434,Matched Lat 1434,0
1435,Actual Address 1435,Actual Long 1435,Actual Lat 1435,Matched Address 1435,Matched Long 1435,Matched Lat 1435,176
1436,Actual Address 1436,Actual Long 1436,Actual Lat 1436,Matched Address 1436,Matched Long 1436,Matched Lat 1436,56
1437,Actual Address 1437,Actual Long 1437,Actual Lat 1437,Matched Address 1437,Matched Long 1437,Matched Lat 1437,10
1438,Actual Address 1438,Actual Long 1438,Actual Lat 1438,Matched Address 1438,Matched Long 1438,Matched Lat 1438,16
1439,Actual Address 1439,Actual Long 1439,Actual Lat 1439,Matched Address 1439,Matched Long 1439,Matched Lat 1439,10
1440,Actual Address 1440,Actual Long 1440,Actual Lat 1440,Matched Address 1440,Matched Long 1440,Matched Lat 1440,17
1441,Actual Address 1441,Actual Long 1441,Actual Lat 1441,Matched Address 1441,Matched Long 1441,Matched Lat 1441,5871
1442,Actual Address 1442,Actual Long 1442,Actual Lat 1442,Matched Address 1442,Matched Long 1442,Matched Lat 1442,8
1443,Actual Address 1443,Actual Long 1443,Actual Lat 1443,Matched Address 1443,Matched Long 1443,Matched Lat 1443,24
1444,Actual Address 1444,Actual Long 1444,Actual Lat 1444,Matched Address 1444,Matched Long 1444,Matched Lat 1444,10
1445,Actual Address 1445,Actual Long 1445,Actual Lat 1445,Matched Address 1445,Matched Long 1445,Matched Lat 1445,13
1446,Actual Address 1446,Actual Long 1446,Actual Lat 1446,Matched Address 1446,Matched Long 1446,Matched Lat 1446,78
1447,Actual Address 1447,Actual Long 1447,Actual Lat 1447,Matched Address 1447,Matched Long 1447,Matched Lat 1447,5
1448,Actual Address 1448,Actual Long 1448,Actual Lat 1448,Matched Address 1448,Matched Long 1448,Matched Lat 1448,9
1449,Actual Address 1449,Actual Long 1449,Actual Lat 1449,Matched Address 1449,Matched Long 1449,Matched Lat 1449,17
1450,Actual Address 1450,Actual Long 1450,Actual Lat 1450,Matched Address 1450,Matched Long 1450,Matched Lat 1450,16
1451,Actual Address 1451,Actual Long 1451,Actual Lat 1451,Matched Address 1451,Matched Long 1451,Matched Lat 1451,176
1452,Actual Address 1452,Actual Long 1452,Actual Lat 1452,Matched Address 1452,Matched Long 1452,Matched Lat 1452,11
1453,Actual Address 1453,Actual Long 1453,Actual Lat 1453,Matched Address 1453,Matched Long 1453,Matched Lat 1453,1
1454,Actual Address 1454,Actual Long 1454,Actual Lat 1454,Matched Address 1454,Matched Long 1454,Matched Lat 1454,8
1455,Actual Address 1455,Actual Long 1455,Actual Lat 1455,Matched Address 1455,Matched Long 1455,Matched Lat 1455,26
1456,Actual Address 1456,Actual Long 1456,Actual Lat 1456,Matched Address 1456,Matched Long 1456,Matched Lat 1456,20
1457,Actual Address 1457,Actual Long 1457,Actual Lat 1457,Matched Address 1457,Matched Long 1457,Matched Lat 1457,19
1458,Actual Address 1458,Actual Long 1458,Actual Lat 1458,Matched Address 1458,Matched Long 1458,Matched Lat 1458,2
1459,Actual Address 1459,Actual Long 1459,Actual Lat 1459,Matched Address 1459,Matched Long 1459,Matched Lat 1459,19
1460,Actual Address 1460,Actual Long 1460,Actual Lat 1460,Matched Address 1460,Matched Long 1460,Matched Lat 1460,192
1461,Actual Address 1461,Actual Long 1461,Actual Lat 1461,Matched Address 1461,Matched Long 1461,Matched Lat 1461,13
1462,Actual Address 1462,Actual Long 1462,Actual Lat 1462,Matched Address 1462,Matched Long 1462,Matched Lat 1462,265
1463,Actual Address 1463,Actual Long 1463,Actual Lat 1463,Matched Address 1463,Matched Long 1463,Matched Lat 1463,124
1464,Actual Address 1464,Actual Long 1464,Actual Lat 1464,Matched Address 1464,Matched Long 1464,Matched Lat 1464,8
1465,Actual Address 1465,Actual Long 1465,Actual Lat 1465,Matched Address 1465,Matched Long 1465,Matched Lat 1465,14
1466,Actual Address 1466,Actual Long 1466,Actual Lat 1466,Matched Address 1466,Matched Long 1466,Matched Lat 1466,10
1467,Actual Address 1467,Actual Long 1467,Actual Lat 1467,Matched Address 1467,Matched Long 1467,Matched Lat 1467,13
1468,Actual Address 1468,Actual Long 1468,Actual Lat 1468,Matched Address 1468,Matched Long 1468,Matched Lat 1468,18
1469,Actual Address 1469,Actual Long 1469,Actual Lat 1469,Matched Address 1469,Matched Long 1469,Matched Lat 1469,8
1470,Actual Address 1470,Actual Long 1470,Actual Lat 1470,Matched Address 1470,Matched Long 1470,Matched Lat 1470,10
1471,Actual Address 1471,Actual Long 1471,Actual Lat 1471,Matched Address 1471,Matched Long 1471,Matched Lat 1471,16
1472,Actual Address 1472,Actual Long 1472,Actual Lat 1472,Matched Address 1472,Matched Long 1472,Matched Lat 1472,10
1473,Actual Address 1473,Actual Long 1473,Actual Lat 1473,Matched Address 1473,Matched Long 1473,Matched Lat 1473,18
1474,Actual Address 1474,Actual Long 1474,Actual Lat 1474,Matched Address 1474,Matched Long 1474,Matched Lat 1474,9
1475,Actual Address 1475,Actual Long 1475,Actual Lat 1475,Matched Address 1475,Matched Long 1475,Matched Lat 1475,32
1476,Actual Address 1476,Actual Long 1476,Actual Lat 1476,Matched Address 1476,Matched Long 1476,Matched Lat 1476,7
1477,Actual Address 1477,Actual Long 1477,Actual Lat 1477,Matched Address 1477,Matched Long 1477,Matched Lat 1477,17
1478,Actual Address 1478,Actual Long 1478,Actual Lat 1478,Matched Address 1478,Matched Long 1478,Matched Lat 1478,13
1479,Actual Address 1479,Actual Long 1479,Actual Lat 1479,Matched Address 1479,Matched Long 1479,Matched Lat 1479,8
1480,Actual Address 1480,Actual Long 1480,Actual Lat 1480,Matched Address 1480,Matched Long 1480,Matched Lat 1480,9
1481,Actual Address 1481,Actual Long 1481,Actual Lat 1481,Matched Address 1481,Matched Long 1481,Matched Lat 1481,32
1482,Actual Address 1482,Actual Long 1482,Actual Lat 1482,Matched Address 1482,Matched Long 1482,Matched Lat 1482,200
1483,Actual Address 1483,Actual Long 1483,Actual Lat 1483,Matched Address 1483,Matched Long 1483,Matched Lat 1483,293
1484,Actual Address 1484,Actual Long 1484,Actual Lat 1484,Matched Address 1484,Matched Long 1484,Matched Lat 1484,11
1485,Actual Address 1485,Actual Long 1485,Actual Lat 1485,Matched Address 1485,Matched Long 1485,Matched Lat 1485,1056
1486,Actual Address 1486,Actual Long 1486,Actual Lat 1486,Matched Address 1486,Matched Long 1486,Matched Lat 1486,17
1487,Actual Address 1487,Actual Long 1487,Actual Lat 1487,Matched Address 1487,Matched Long 1487,Matched Lat 1487,4
1488,Actual Address 1488,Actual Long 1488,Actual Lat 1488,Matched Address 1488,Matched Long 1488,Matched Lat 1488,17
1489,Actual Address 1489,Actual Long 1489,Actual Lat 1489,Matched Address 1489,Matched Long 1489,Matched Lat 1489,43
1490,Actual Address 1490,Actual Long 1490,Actual Lat 1490,Matched Address 1490,Matched Long 1490,Matched Lat 1490,21
1491,Actual Address 1491,Actual Long 1491,Actual Lat 1491,Matched Address 1491,Matched Long 1491,Matched Lat 1491,15
1492,Actual Address 1492,Actual Long 1492,Actual Lat 1492,Matched Address 1492,Matched Long 1492,Matched Lat 1492,10
1493,Actual Address 1493,Actual Long 1493,Actual Lat 1493,Matched Address 1493,Matched Long 1493,Matched Lat 1493,19
1494,Actual Address 1494,Actual Long 1494,Actual Lat 1494,Matched Address 1494,Matched Long 1494,Matched Lat 1494,10
1495,Actual Address 1495,Actual Long 1495,Actual Lat 1495,Matched Address 1495,Matched Long 1495,Matched Lat 1495,8
1496,Actual Address 1496,Actual Long 1496,Actual Lat 1496,Matched Address 1496,Matched Long 1496,Matched Lat 1496,19
1497,Actual Address 1497,Actual Long 1497,Actual Lat 1497,Matched Address 1497,Matched Long 1497,Matched Lat 1497,11
1498,Actual Address 1498,Actual Long 1498,Actual Lat 1498,Matched Address 1498,Matched Long 1498,Matched Lat 1498,165
1499,Actual Address 1499,Actual Long 1499,Actual Lat 1499,Matched Address 1499,Matched Long 1499,Matched Lat 1499,78
1500,Actual Address 1500,Actual Long 1500,Actual Lat 1500,Matched Address 1500,Matched Long 1500,Matched Lat 1500,11
1501,Actual Address 1501,Actual Long 1501,Actual Lat 1501,Matched Address 1501,Matched Long 1501,Matched Lat 1501,12
1502,Actual Address 1502,Actual Long 1502,Actual Lat 1502,Matched Address 1502,Matched Long 1502,Matched Lat 1502,9
1503,Actual Address 1503,Actual Long 1503,Actual Lat 1503,Matched Address 1503,Matched Long 1503,Matched Lat 1503,305
1504,Actual Address 1504,Actual Long 1504,Actual Lat 1504,Matched Address 1504,Matched Long 1504,Matched Lat 1504,5
1505,Actual Address 1505,Actual Long 1505,Actual Lat 1505,Matched Address 1505,Matched Long 1505,Matched Lat 1505,12
1506,Actual Address 1506,Actual Long 1506,Actual Lat 1506,Matched Address 1506,Matched Long 1506,Matched Lat 1506,10
1507,Actual Address 1507,Actual Long 1507,Actual Lat 1507,Matched Address 1507,Matched Long 1507,Matched Lat 1507,3
1508,Actual Address 1508,Actual Long 1508,Actual Lat 1508,Matched Address 1508,Matched Long 1508,Matched Lat 1508,9
1509,Actual Address 1509,Actual Long 1509,Actual Lat 1509,Matched Address 1509,Matched Long 1509,Matched Lat 1509,408
1510,Actual Address 1510,Actual Long 1510,Actual Lat 1510,Matched Address 1510,Matched Long 1510,Matched Lat 1510,19
1511,Actual Address 1511,Actual Long 1511,Actual Lat 1511,Matched Address 1511,Matched Long 1511,Matched Lat 1511,904
1512,Actual Address 1512,Actual Long 1512,Actual Lat 1512,Matched Address 1512,Matched Long 1512,Matched Lat 1512,20
1513,Actual Address 1513,Actual Long 1513,Actual Lat 1513,Matched Address 1513,Matched Long 1513,Matched Lat 1513,4
1514,Actual Address 1514,Actual Long 1514,Actual Lat 1514,Matched Address 1514,Matched Long 1514,Matched Lat 1514,9
1515,Actual Address 1515,Actual Long 1515,Actual Lat 1515,Matched Address 1515,Matched Long 1515,Matched Lat 1515,14
1516,Actual Address 1516,Actual Long 1516,Actual Lat 1516,Matched Address 1516,Matched Long 1516,Matched Lat 1516,22
1517,Actual Address 1517,Actual Long 1517,Actual Lat 1517,Matched Address 1517,Matched Long 1517,Matched Lat 1517,27
1518,Actual Address 1518,Actual Long 1518,Actual Lat 1518,Matched Address 1518,Matched Long 1518,Matched Lat 1518,4
1519,Actual Address 1519,Actual Long 1519,Actual Lat 1519,Matched Address 1519,Matched Long 1519,Matched Lat 1519,96
1520,Actual Address 1520,Actual Long 1520,Actual Lat 1520,Matched Address 1520,Matched Long 1520,Matched Lat 1520,18
1521,Actual Address 1521,Actual Long 1521,Actual Lat 1521,Matched Address 1521,Matched Long 1521,Matched Lat 1521,7
1522,Actual Address 1522,Actual Long 1522,Actual Lat 1522,Matched Address 1522,Matched Long 1522,Matched Lat 1522,13
1523,Actual Address 1523,Actual Long 1523,Actual Lat 1523,Matched Address 1523,Matched Long 1523,Matched Lat 1523,12
1524,Actual Address 1524,Actual Long 1524,Actual Lat 1524,Matched Address 1524,Matched Long 1524,Matched Lat 1524,8
1525,Actual Address 1525,Actual Long 1525,Actual Lat 1525,Matched Address 1525,Matched Long 1525,Matched Lat 1525,88
1526,Actual Address 1526,Actual Long 1526,Actual Lat 1526,Matched Address 1526,Matched Long 1526,Matched Lat 1526,11
1527,Actual Address 1527,Actual Long 1527,Actual Lat 1527,Matched Address 1527,Matched Long 1527,Matched Lat 1527,18
1528,Actual Address 1528,Actual Long 1528,Actual Lat 1528,Matched Address 1528,Matched Long 1528,Matched Lat 1528,38
1529,Actual Address 1529,Actual Long 1529,Actual Lat 1529,Matched Address 1529,Matched Long 1529,Matched Lat 1529,9
1530,Actual Address 1530,Actual Long 1530,Actual Lat 1530,Matched Address 1530,Matched Long 1530,Matched Lat 1530,1491
1531,Actual Address 1531,Actual Long 1531,Actual Lat 1531,Matched Address 1531,Matched Long 1531,Matched Lat 1531,57
1532,Actual Address 1532,Actual Long 1532,Actual Lat 1532,Matched Address 1532,Matched Long 1532,Matched Lat 1532,7
1533,Actual Address 1533,Actual Long 1533,Actual Lat 1533,Matched Address 1533,Matched Long 1533,Matched Lat 1533,20
1534,Actual Address 1534,Actual Long 1534,Actual Lat 1534,Matched Address 1534,Matched Long 1534,Matched Lat 1534,77
1535,Actual Address 1535,Actual Long 1535,Actual Lat 1535,Matched Address 1535,Matched Long 1535,Matched Lat 1535,292
1536,Actual Address 1536,Actual Long 1536,Actual Lat 1536,Matched Address 1536,Matched Long 1536,Matched Lat 1536,261
1537,Actual Address 1537,Actual Long 1537,Actual Lat 1537,Matched Address 1537,Matched Long 1537,Matched Lat 1537,20
1538,Actual Address 1538,Actual Long 1538,Actual Lat 1538,Matched Address 1538,Matched Long 1538,Matched Lat 1538,2
1539,Actual Address 1539,Actual Long 1539,Actual Lat 1539,Matched Address 1539,Matched Long 1539,Matched Lat 1539,83
1540,Actual Address 1540,Actual Long 1540,Actual Lat 1540,Matched Address 1540,Matched Long 1540,Matched Lat 1540,8
1541,Actual Address 1541,Actual Long 1541,Actual Lat 1541,Matched Address 1541,Matched Long 1541,Matched Lat 1541,15
1542,Actual Address 1542,Actual Long 1542,Actual Lat 1542,Matched Address 1542,Matched Long 1542,Matched Lat 1542,35
1543,Actual Address 1543,Actual Long 1543,Actual Lat 1543,Matched Address 1543,Matched Long 1543,Matched Lat 1543,16
1544,Actual Address 1544,Actual Long 1544,Actual Lat 1544,Matched Address 1544,Matched Long 1544,Matched Lat 1544,10
1545,Actual Address 1545,Actual Long 1545,Actual Lat 1545,Matched Address 1545,Matched Long 1545,Matched Lat 1545,10
1546,Actual Address 1546,Actual Long 1546,Actual Lat 1546,Matched Address 1546,Matched Long 1546,Matched Lat 1546,47
1547,Actual Address 1547,Actual Long 1547,Actual Lat 1547,Matched Address 1547,Matched Long 1547,Matched Lat 1547,7
1548,Actual Address 1548,Actual Long 1548,Actual Lat 1548,Matched Address 1548,Matched Long 1548,Matched Lat 1548,13
1549,Actual Address 1549,Actual Long 1549,Actual Lat 1549,Matched Address 1549,Matched Long 1549,Matched Lat 1549,11810
1550,Actual Address 1550,Actual Long 1550,Actual Lat 1550,Matched Address 1550,Matched Long 1550,Matched Lat 1550,2003
1551,Actual Address 1551,Actual Long 1551,Actual Lat 1551,Matched Address 1551,Matched Long 1551,Matched Lat 1551,30
1552,Actual Address 1552,Actual Long 1552,Actual Lat 1552,Matched Address 1552,Matched Long 1552,Matched Lat 1552,9
1553,Actual Address 1553,Actual Long 1553,Actual Lat 1553,Matched Address 1553,Matched Long 1553,Matched Lat 1553,25
1554,Actual Address 1554,Actual Long 1554,Actual Lat 1554,Matched Address 1554,Matched Long 1554,Matched Lat 1554,15
1555,Actual Address 1555,Actual Long 1555,Actual Lat 1555,Matched Address 1555,Matched Long 1555,Matched Lat 1555,19
1556,Actual Address 1556,Actual Long 1556,Actual Lat 1556,Matched Address 1556,Matched Long 1556,Matched Lat 1556,21
1557,Actual Address 1557,Actual Long 1557,Actual Lat 1557,Matched Address 1557,Matched Long 1557,Matched Lat 1557,96
1558,Actual Address 1558,Actual Long 1558,Actual Lat 1558,Matched Address 1558,Matched Long 1558,Matched Lat 1558,13
1559,Actual Address 1559,Actual Long 1559,Actual Lat 1559,Matched Address 1559,Matched Long 1559,Matched Lat 1559,69
1560,Actual Address 1560,Actual Long 1560,Actual Lat 1560,Matched Address 1560,Matched Long 1560,Matched Lat 1560,20
1561,Actual Address 1561,Actual Long 1561,Actual Lat 1561,Matched Address 1561,Matched Long 1561,Matched Lat 1561,12
1562,Actual Address 1562,Actual Long 1562,Actual Lat 1562,Matched Address 1562,Matched Long 1562,Matched Lat 1562,9
1563,Actual Address 1563,Actual Long 1563,Actual Lat 1563,Matched Address 1563,Matched Long 1563,Matched Lat 1563,18
1564,Actual Address 1564,Actual Long 1564,Actual Lat 1564,Matched Address 1564,Matched Long 1564,Matched Lat 1564,5
1565,Actual Address 1565,Actual Long 1565,Actual Lat 1565,Matched Address 1565,Matched Long 1565,Matched Lat 1565,36
1566,Actual Address 1566,Actual Long 1566,Actual Lat 1566,Matched Address 1566,Matched Long 1566,Matched Lat 1566,22
1567,Actual Address 1567,Actual Long 1567,Actual Lat 1567,Matched Address 1567,Matched Long 1567,Matched Lat 1567,20
1568,Actual Address 1568,Actual Long 1568,Actual Lat 1568,Matched Address 1568,Matched Long 1568,Matched Lat 1568,3
1569,Actual Address 1569,Actual Long 1569,Actual Lat 1569,Matched Address 1569,Matched Long 1569,Matched Lat 1569,9
1570,Actual Address 1570,Actual Long 1570,Actual Lat 1570,Matched Address 1570,Matched Long 1570,Matched Lat 1570,10
1571,Actual Address 1571,Actual Long 1571,Actual Lat 1571,Matched Address 1571,Matched Long 1571,Matched Lat 1571,16
1572,Actual Address 1572,Actual Long 1572,Actual Lat 1572,Matched Address 1572,Matched Long 1572,Matched Lat 1572,16
